timestamp,ask_price,bid_price,midpoint,spread
1730172699.218421,0.5344,0.5342,0.5343,0.00019999999999997797
1730172700.221868,0.5344,0.5342,0.5343,0.00019999999999997797
1730172701.225427,0.5343,0.5341,0.5342,0.00019999999999997797
1730172702.2286022,0.5343,0.5341,0.5342,0.00019999999999997797
1730172703.232149,0.5343,0.5341,0.5342,0.00019999999999997797
1730172704.2354,0.5343,0.5341,0.5342,0.00019999999999997797
1730172705.238461,0.5343,0.5341,0.5342,0.00019999999999997797
1730172706.241911,0.5343,0.5341,0.5342,0.00019999999999997797
1730172707.245161,0.5343,0.5341,0.5342,0.00019999999999997797
1730172708.248501,0.5341,0.5339,0.534,0.00019999999999997797
1730172709.251508,0.5341,0.5339,0.534,0.00019999999999997797
1730172710.255689,0.5341,0.5339,0.534,0.00019999999999997797
1730172711.258091,0.5341,0.5339,0.534,0.00019999999999997797
1730172712.261503,0.5341,0.5339,0.534,0.00019999999999997797
1730172713.264957,0.5341,0.5339,0.534,0.00019999999999997797
1730172714.26824,0.5341,0.5339,0.534,0.00019999999999997797
1730172715.271507,0.5341,0.5339,0.534,0.00019999999999997797
1730172716.274944,0.5341,0.5339,0.534,0.00019999999999997797
1730172717.278326,0.5341,0.5339,0.534,0.00019999999999997797
1730172718.2818189,0.5341,0.5339,0.534,0.00019999999999997797
1730172719.285141,0.5341,0.5339,0.534,0.00019999999999997797
1730172720.288068,0.5341,0.5339,0.534,0.00019999999999997797
1730172721.2915258,0.5341,0.5339,0.534,0.00019999999999997797
1730172722.2941492,0.5341,0.5339,0.534,0.00019999999999997797
1730172723.297152,0.5341,0.5339,0.534,0.00019999999999997797
1730172724.3008058,0.5341,0.5339,0.534,0.00019999999999997797
1730172725.304113,0.5341,0.534,0.53405,9.999999999998899e-05
1730172726.3073568,0.5341,0.534,0.53405,9.999999999998899e-05
1730172727.3106308,0.5341,0.534,0.53405,9.999999999998899e-05
1730172728.314017,0.5339,0.5337,0.5338,0.000200000000000089
1730172729.3170571,0.5339,0.5337,0.5338,0.000200000000000089
1730172730.3201978,0.534,0.5339,0.53395,9.999999999998899e-05
1730172731.323519,0.534,0.5339,0.53395,9.999999999998899e-05
1730172732.326904,0.534,0.5339,0.53395,9.999999999998899e-05
1730172733.3301618,0.5341,0.5339,0.534,0.00019999999999997797
1730172734.333451,0.5341,0.5339,0.534,0.00019999999999997797
1730172735.3366568,0.534,0.5339,0.53395,9.999999999998899e-05
1730172736.339929,0.534,0.5339,0.53395,9.999999999998899e-05
1730172737.343222,0.534,0.5339,0.53395,9.999999999998899e-05
1730172738.346596,0.534,0.5339,0.53395,9.999999999998899e-05
1730172739.349979,0.534,0.5339,0.53395,9.999999999998899e-05
1730172740.353109,0.534,0.5339,0.53395,9.999999999998899e-05
1730172741.355191,0.5341,0.534,0.53405,9.999999999998899e-05
1730172742.3585322,0.5341,0.534,0.53405,9.999999999998899e-05
1730172743.362048,0.5341,0.534,0.53405,9.999999999998899e-05
1730172744.365916,0.5342,0.534,0.5341,0.00019999999999997797
1730172745.3693419,0.5342,0.534,0.5341,0.00019999999999997797
1730172746.372722,0.5341,0.5339,0.534,0.00019999999999997797
1730172747.376365,0.5341,0.5339,0.534,0.00019999999999997797
1730172748.379431,0.5341,0.5339,0.534,0.00019999999999997797
1730172749.382813,0.5342,0.534,0.5341,0.00019999999999997797
1730172750.385688,0.5342,0.534,0.5341,0.00019999999999997797
1730172751.38896,0.5342,0.534,0.5341,0.00019999999999997797
1730172752.392365,0.5342,0.534,0.5341,0.00019999999999997797
1730172753.395448,0.5342,0.534,0.5341,0.00019999999999997797
1730172754.398868,0.5342,0.534,0.5341,0.00019999999999997797
1730172755.402254,0.5342,0.534,0.5341,0.00019999999999997797
1730172756.404609,0.5341,0.534,0.53405,9.999999999998899e-05
1730172757.4081202,0.5341,0.534,0.53405,9.999999999998899e-05
1730172758.411533,0.5343,0.5342,0.53425,9.999999999998899e-05
