timestamp,ask_price,bid_price,midpoint,spread
1730276435.5703611,0.5507,0.5503,0.5505,0.00039999999999995595
1730276436.576061,0.5507,0.5503,0.5505,0.00039999999999995595
1730276437.578604,0.5507,0.5503,0.5505,0.00039999999999995595
1730276438.581571,0.5507,0.5503,0.5505,0.00039999999999995595
1730276439.5845902,0.5507,0.5504,0.55055,0.00029999999999996696
1730276440.5877728,0.5507,0.5504,0.55055,0.00029999999999996696
1730276441.591467,0.5507,0.5504,0.55055,0.00029999999999996696
1730276442.5950541,0.5508,0.5505,0.55065,0.00029999999999996696
1730276443.598009,0.5508,0.5505,0.55065,0.00029999999999996696
1730276444.601165,0.551,0.5506,0.5508,0.00040000000000006697
1730276445.604789,0.551,0.5506,0.5508,0.00040000000000006697
1730276446.6084092,0.551,0.5506,0.5508,0.00040000000000006697
1730276447.6314812,0.551,0.5506,0.5508,0.00040000000000006697
1730276448.633323,0.551,0.5506,0.5508,0.00040000000000006697
1730276449.636318,0.551,0.5506,0.5508,0.00040000000000006697
1730276450.6397078,0.551,0.5506,0.5508,0.00040000000000006697
1730276451.6627982,0.5508,0.5505,0.55065,0.00029999999999996696
1730276452.744967,0.5508,0.5505,0.55065,0.00029999999999996696
1730276453.746678,0.5508,0.5505,0.55065,0.00029999999999996696
1730276454.750311,0.5508,0.5505,0.55065,0.00029999999999996696
1730276455.753458,0.5508,0.5505,0.55065,0.00029999999999996696
1730276456.756796,0.5509,0.5505,0.5507,0.00039999999999995595
1730276457.7599308,0.5509,0.5505,0.5507,0.00039999999999995595
1730276458.763315,0.5509,0.5505,0.5507,0.00039999999999995595
1730276459.766782,0.5506,0.5503,0.55045,0.00029999999999996696
1730276460.770175,0.5506,0.5503,0.55045,0.00029999999999996696
1730276461.773387,0.5506,0.5503,0.55045,0.00029999999999996696
1730276462.776931,0.5506,0.5503,0.55045,0.00029999999999996696
1730276463.78049,0.5506,0.5503,0.55045,0.00029999999999996696
1730276464.7838342,0.5506,0.5504,0.5505,0.00019999999999997797
1730276465.7863739,0.5506,0.5504,0.5505,0.00019999999999997797
1730276466.7895749,0.5506,0.5502,0.5504,0.00039999999999995595
1730276467.792128,0.5506,0.5502,0.5504,0.00039999999999995595
1730276468.7952452,0.5506,0.5502,0.5504,0.00039999999999995595
1730276469.798723,0.5506,0.5502,0.5504,0.00039999999999995595
1730276470.802283,0.5506,0.5502,0.5504,0.00039999999999995595
1730276471.805962,0.5506,0.5502,0.5504,0.00039999999999995595
1730276472.80958,0.5506,0.5502,0.5504,0.00039999999999995595
1730276473.8128488,0.5506,0.5502,0.5504,0.00039999999999995595
1730276474.816262,0.5506,0.5502,0.5504,0.00039999999999995595
1730276475.819061,0.5506,0.5502,0.5504,0.00039999999999995595
1730276476.821387,0.5504,0.5501,0.55025,0.00029999999999996696
1730276477.824692,0.5504,0.5501,0.55025,0.00029999999999996696
1730276478.8280041,0.5504,0.5501,0.55025,0.00029999999999996696
1730276479.83153,0.5504,0.5501,0.55025,0.00029999999999996696
1730276480.8351061,0.5504,0.5501,0.55025,0.00029999999999996696
1730276481.8385081,0.5504,0.5501,0.55025,0.00029999999999996696
1730276482.841107,0.5504,0.5501,0.55025,0.00029999999999996696
1730276483.844435,0.5504,0.5501,0.55025,0.00029999999999996696
1730276484.84754,0.5504,0.5501,0.55025,0.00029999999999996696
1730276485.849996,0.5504,0.5501,0.55025,0.00029999999999996696
1730276486.853249,0.5504,0.5501,0.55025,0.00029999999999996696
1730276487.856637,0.5504,0.5501,0.55025,0.00029999999999996696
1730276488.859689,0.5504,0.5501,0.55025,0.00029999999999996696
1730276489.8628669,0.5504,0.5501,0.55025,0.00029999999999996696
1730276490.866397,0.5504,0.5501,0.55025,0.00029999999999996696
1730276491.869934,0.5504,0.5502,0.5503,0.00019999999999997797
1730276492.873479,0.5504,0.5502,0.5503,0.00019999999999997797
1730276493.876826,0.5504,0.5502,0.5503,0.00019999999999997797
1730276494.879918,0.5504,0.5502,0.5503,0.00019999999999997797
1730276495.883414,0.5504,0.5502,0.5503,0.00019999999999997797
1730276496.886909,0.5504,0.5502,0.5503,0.00019999999999997797
1730276497.890364,0.5504,0.5502,0.5503,0.00019999999999997797
1730276498.8936388,0.5504,0.5501,0.55025,0.00029999999999996696
1730276499.8968709,0.5504,0.5501,0.55025,0.00029999999999996696
